Referencia;Atributo;Valor
LFNSSM-B-115;Talla:select,Color:select;S,Rojo
LFNSSM-B-115;Talla:select,Color:select;S,Blanco
LFNSSM-B-115;Talla:select,Color:select;S,Verde
LFNSSM-B-115;Talla:select,Color:select;M,Negro
LFNSSM-B-115;Talla:select,Color:select;M,Rojo
LFNSSM-B-115;Talla:select,Color:select;M,Blanco
LFNSSM-B-115;Talla:select,Color:select;M,Verde
LFNSSM-B-115;Talla:select,Color:select;L,Negro
LFNSSM-B-115;Talla:select,Color:select;L,Rojo
LFNSSM-B-115;Talla:select,Color:select;L,Blanco
LFNSSM-B-115;Talla:select,Color:select;L,Verde
LFNSSM-B-117;Talla:select;S
LFNSSM-B-117;Talla:select;M
LFNSSM-B-117;Talla:select;L
LFNSSM-B-118;Talla:select,Color:select;S,Azul Claro
LFNSSM-B-118;Talla:select,Color:select;S,Rosa
LFNSSM-B-118;Talla:select,Color:select;S,Blanco
LFNSSM-B-118;Talla:select,Color:select;S,Azul
LFNSSM-B-118;Talla:select,Color:select;S,Verde
LFNSSM-B-118;Talla:select,Color:select;S,Negro
LFNSSM-B-118;Talla:select,Color:select;M,Azul Claro
LFNSSM-B-118;Talla:select,Color:select;M,Rosa
LFNSSM-B-118;Talla:select,Color:select;M,Blanco
LFNSSM-B-118;Talla:select,Color:select;M,Azul
LFNSSM-B-118;Talla:select,Color:select;M,Verde
LFNSSM-B-118;Talla:select,Color:select;M,Negro
LFNSSM-B-118;Talla:select,Color:select;L,Azul Claro
LFNSSM-B-118;Talla:select,Color:select;L,Rosa
LFNSSM-B-118;Talla:select,Color:select;L,Blanco
LFNSSM-B-118;Talla:select,Color:select;L,Azul
LFNSSM-B-118;Talla:select,Color:select;L,Verde
LFNSSM-B-118;Talla:select,Color:select;L,Negro
LFNSSM-B-119;Talla:select,Color:select;S,Rosa
LFNSSM-B-119;Talla:select,Color:select;S,Verde
LFNSSM-B-119;Talla:select,Color:select;S,Violeta
LFNSSM-B-119;Talla:select,Color:select;S,Azul
LFNSSM-B-119;Talla:select,Color:select;M,Rosa
LFNSSM-B-119;Talla:select,Color:select;M,Verde
LFNSSM-B-119;Talla:select,Color:select;M,Violeta
LFNSSM-B-119;Talla:select,Color:select;M,Azul
LFNSSM-B-119;Talla:select,Color:select;L,Rosa
